country,Submissions,Price,Features,Safety,Security,Privacy,Reliability,User Reviews,Expert Recommendation,Friend or Family Recommendation,Convenience
Albania,68,52.94,36.76,27.94,23.53,23.53,14.71,13.24,7.35,2.94,13.24
Algeria,1115,20.54,21.7,9.6,16.32,13.18,13.63,3.5,5.83,2.24,21.61
Argentina,3264,52.14,58.24,21.94,13.6,14.92,11.98,14.46,16.76,7.44,24.02
Australia,2457,40.09,41.47,19.78,35.33,26.33,41.68,15.71,16.32,7.65,12.13
Austria,2158,42.35,56.12,10.75,25.58,23.17,45.04,13.81,12.65,9.22,13.99
Bangladesh,840,22.14,19.17,11.55,10.6,6.9,8.81,5,5,3.33,2.74
Belgium,2541,42.31,42.15,12.87,20.62,22.79,35.85,7.99,9.76,5.12,51.4
Benin,90,25.56,33.33,16.67,23.33,12.22,16.67,3.33,8.89,4.44,32.22
Bolivia,430,52.56,50.93,26.74,12.79,15.58,11.86,8.6,14.88,6.98,12.79
Bosnia and Herz.,62,37.1,25.81,12.9,19.35,17.74,32.26,17.74,11.29,0,6.45
Brazil,13429,52.57,55.27,16.33,28.36,17.09,30.44,8.94,11.27,6.18,10.85
Bulgaria,158,43.67,48.1,17.72,18.99,16.46,38.61,15.82,8.23,5.7,17.72
Burkina Faso,68,19.12,26.47,20.59,22.06,13.24,13.24,0,4.41,4.41,23.53
Cambodia,104,15.38,16.35,6.73,7.69,8.65,10.58,3.85,5.77,0.96,6.73
Cameroon,272,28.68,31.62,12.5,20.59,17.65,19.49,2.57,6.25,1.47,33.46
Canada,4440,40.95,40.43,17.95,33.04,25.86,38.58,11.73,13.47,7,21.37
Chile,1417,56.6,63.09,25.48,15.46,18.21,13.41,15.38,20.04,6.14,20.4
China,107,44.86,43.93,23.36,22.43,17.76,34.58,6.54,7.48,6.54,23.36
Colombia,2315,53.91,61.25,28.73,17.37,17.49,12.74,9.89,15.72,5.36,21.21
Dem. Rep. Congo,58,18.97,22.41,13.79,15.52,13.79,15.52,5.17,5.17,1.72,22.41
Costa Rica,440,57.95,61.14,27.73,16.82,16.59,17.95,14.32,18.18,6.59,18.41
Côte d'Ivoire,307,28.66,33.22,12.38,20.85,14.33,16.61,3.26,4.56,2.28,34.53
Croatia,180,47.22,50.56,23.33,27.22,22.22,31.67,17.78,12.22,9.44,12.78
Cuba,107,48.6,47.66,28.04,9.35,14.02,13.08,5.61,16.82,4.67,14.02
Czech Rep.,151,41.06,49.01,27.15,33.77,23.18,34.44,19.21,19.21,6.62,12.58
Denmark,221,40.27,48.42,22.62,35.75,30.77,36.2,14.93,18.1,6.33,11.76
Dominican Rep.,244,45.9,51.23,28.69,16.39,20.08,11.48,15.57,17.21,4.92,18.44
Ecuador,1341,50.41,48.32,29.53,16.11,16.48,9.4,8.43,14.39,6.56,16.11
Egypt,307,16.61,17.92,12.05,11.73,9.77,7.17,4.56,3.26,1.63,4.23
El Salvador,369,63.14,57.72,33.06,17.34,17.62,12.2,10.84,14.91,7.86,18.97
Estonia,52,55.77,53.85,19.23,25,19.23,38.46,19.23,13.46,5.77,15.38
Ethiopia,79,7.59,7.59,6.33,6.33,2.53,10.13,1.27,2.53,2.53,3.8
Finland,217,42.4,53.46,23.96,32.26,33.18,41.94,17.51,13.82,6.91,15.21
France,32395,42.87,42.58,10.64,19.19,22.56,33.5,8.31,7.25,5.1,56.31
French Polynesia,89,47.19,47.19,15.73,22.47,28.09,34.83,10.11,11.24,1.12,52.81
Gabon,53,39.62,35.85,1.89,13.21,1.89,18.87,7.55,9.43,5.66,32.08
Germany,25068,41.7,53.28,12.8,28.71,25.19,42.38,12.56,13.19,9.04,12.89
Ghana,105,33.33,40.95,25.71,32.38,22.86,17.14,5.71,5.71,4.76,5.71
Greece,401,53.87,52.62,18.2,23.19,23.69,33.67,14.21,12.47,6.73,14.46
Guadeloupe,102,40.2,47.06,9.8,22.55,20.59,31.37,4.9,5.88,1.96,48.04
Guatemala,439,54.67,53.3,31.66,18.22,18.91,10.48,9.79,14.81,4.78,19.59
Honduras,203,50.74,52.71,27.59,14.29,17.24,10.34,11.82,12.81,3.45,17.73
Hong Kong,76,35.53,43.42,30.26,40.79,35.53,34.21,13.16,3.95,3.95,14.47
Hungary,124,52.42,43.55,14.52,22.58,25.81,29.84,16.94,22.58,8.06,10.48
India,5825,30.04,34.58,17.82,18.45,14.04,15.02,7.9,6.28,2.99,8.17
Indonesia,1237,35.17,32.01,19,17.46,14.79,12.29,7.68,7.52,4.28,8.16
Iran,653,18.22,18.84,9.34,12.71,8.27,9.04,4.75,5.05,1.53,4.29
Ireland,369,47.15,44.72,22.49,33.33,30.89,36.04,15.72,14.63,6.5,7.86
Israel,160,43.75,46.25,14.38,30.63,25,48.13,17.5,16.25,9.38,17.5
Italy,29039,54.97,63,15,9.28,12.94,42.84,13.3,14.01,4.3,23.68
Japan,159,47.8,42.77,22.64,32.08,32.7,32.08,14.47,9.43,3.14,25.16
Kenya,279,37.28,45.52,16.49,21.51,16.49,28.67,12.9,9.32,3.58,18.28
Lebanon,51,35.29,41.18,21.57,13.73,27.45,37.25,5.88,15.69,1.96,17.65
Lithuania,69,53.62,50.72,11.59,20.29,13.04,47.83,10.14,7.25,5.8,23.19
Luxembourg,219,39.27,45.21,10.5,22.37,26.94,40.64,10.96,9.13,5.94,40.18
Madagascar,189,37.57,34.92,11.64,19.05,17.99,32.8,2.65,8.47,1.59,44.97
Malaysia,325,47.38,51.38,31.69,28,23.69,27.38,12.31,9.23,3.38,10.15
Mali,78,11.54,16.67,7.69,15.38,14.1,17.95,2.56,3.85,0,19.23
Martinique,107,48.6,47.66,13.08,14.95,18.69,34.58,3.74,5.61,2.8,52.34
Mauritius,62,54.84,48.39,20.97,20.97,22.58,29.03,9.68,8.06,9.68,27.42
Mexico,6898,54.68,61.13,28.72,18.25,17.7,10.16,11.87,18.19,5.04,18.5
Morocco,809,26.95,28.55,11.12,19.04,12.61,11.37,4.45,4.94,2.47,24.23
Myanmar,111,26.13,20.72,13.51,10.81,11.71,15.32,2.7,7.21,2.7,9.91
